x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
326,268,53,51,302,-1.34090909091,21.7352941176,433.431818182,611.735294118,-1.34090909091,85.1136363636,2691.38235294,47,762,64,1297,A
262,268,49,52,239,-1.15909090909,12.3529411765,316.840909091,380.294117647,0.0461229946524,-870.340909091,1384.23529412,46,717,40,833,A
184,261,61,58,494,15.0227272727,26.9117647059,792.659090909,745.676470588,2.79077540107,970.659090909,2232.26470588,37,568,44,878,A
392,259,55,60,337,-4.36363636364,17.2647058824,536.818181818,511.794117647,-0.209893048128,-985.772727273,1598.61764706,43,675,45,931,A
105,257,57,63,451,1.18181818182,17.6176470588,790.409090909,668.558823529,-0.0033422459893,162.636363636,1529.61764706,43,679,44,924,A
348,168,49,58,444,-1.84090909091,12.1764705882,653.159090909,682.235294118,0.179144385027,-324.75,1023.88235294,43,671,42,855,A
267,165,61,63,210,7.93181818182,9.58823529412,454.568181818,310.882352941,1.28943850267,1100.20454545,1018.47058824,47,760,49,1055,A
442,164,44,60,475,10.4318181818,8.55882352941,704.568181818,712.735294118,1.60427807487,956.386363636,1085.38235294,42,664,36,761,A
185,164,64,63,304,3.40909090909,15.1176470588,542.909090909,438.411764706,0.383689839572,312.136363636,1324.70588235,47,737,46,979,A
106,163,60,63,329,17.9772727273,14.9705882353,719.431818182,480.088235294,3.82620320856,2158.20454545,1420.02941176,47,751,51,1030,A
397,87,49,59,294,15.6590909091,5.23529411765,573.340909091,381.588235294,7.35828877005,1321.20454545,508.882352941,48,757,52,1145,A
340,87,42,58,457,1.40909090909,19.2647058824,628.318181818,683.382352941,0.276737967914,-106.318181818,1633.61764706,40,617,40,862,A
175,87,64,74,302,32.0454545455,1.41176470588,845.272727273,349.823529412,9.06417112299,6770.86363636,159.176470588,39,645,52,1196,A
98,86,54,60,385,33.2272727273,20.8235294118,728.545454545,546.647058824,6.45320855615,3656.81818182,1857.17647059,40,614,41,891,A
262,84,53,62,394,16.5909090909,15.7058823529,701.454545455,544.294117647,2.5320855615,1994.54545455,1523.47058824,42,648,42,919,A
341,15,59,53,196,8.61363636364,4.17647058824,352.568181818,232.705882353,1.0320855615,910.25,256.529411765,46,730,52,1195,A
266,10,57,56,262,28.4318181818,14.1764705882,572.204545455,409.529411765,4.3128342246,4348.29545455,1520.88235294,48,768,67,1580,A
109,5,54,60,426,22.7045454545,-1.14705882353,1015.02272727,641.323529412,8.3756684492,3340.43181818,-54.7941176471,48,771,55,1250,A
421,3,67,64,297,10.4772727273,20.0882352941,534.068181818,450.911764706,2.80213903743,1331.02272727,1833.5,46,705,46,1009,A
176,0,76,72,325,14.5227272727,10.1764705882,651.795454545,440.235294118,-0.889037433155,2220.75,143.588235294,47,785,52,1114,A
321,268,46,51,380,3.09090909091,11.8823529412,775.772727273,783.411764706,-0.235294117647,1165.72727273,1978.11764706,44,735,78,1674,B
259,268,40,51,369,9.47727272727,2.76470588235,582.477272727,699.058823529,-0.724598930481,2089.29545455,599.941176471,46,757,66,1473,B
185,261,54,66,645,1.27272727273,-6.26470588235,1276.5,1139.02941176,6.72727272727,889.681818182,-425.029411765,45,748,66,1462,B
