x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
326,268,53,51,464,-5.27083333333,22.3125,723.770833333,1346.4375,-2.15234375,-311.395833333,4032.0625,66,1540,67,1468,A
262,268,49,52,388,-1.1875,17.2083333333,582.9375,845.291666667,0.202690972222,-1646.3125,3588.45833333,64,1437,45,1023,A
184,261,61,58,757,22.0625,42.7916666667,1364.6875,1636.16666667,4.27821180556,1482.0625,7473.29166667,54,1149,46,1025,A
392,259,55,60,507,-5.52083333333,25.4791666667,874.5625,1091.60416667,-0.408420138889,-1488.77083333,4449.10416667,62,1359,49,1103,A
105,257,57,63,715,2.375,27.2083333333,1386.66666667,1549.58333333,-0.61328125,798.875,4290.58333333,62,1382,48,1118,A
348,168,49,58,703,-5.10416666667,18.3125,1206.89583333,1484.8125,0.388020833333,-1123.72916667,3216.3125,61,1321,46,1027,A
267,165,61,63,353,13.6875,15.9375,807.3125,746.520833333,1.86631944444,2055.0625,2905.0625,66,1491,54,1277,A
442,164,44,60,808,18.4375,13.875,1412.39583333,1791.58333333,1.68272569444,2282.1875,3114.875,59,1312,40,925,A
185,164,64,63,478,5.02083333333,20.7916666667,921.354166667,983.291666667,0.550347222222,404.395833333,3116.54166667,65,1456,50,1150,A
106,163,60,63,515,28.5208333333,23.5625,1221.3125,1093.72916667,5.16927083333,4249.14583333,4316.3125,68,1514,57,1261,A
397,87,49,59,469,26.8958333333,5.60416666667,1054.64583333,892.895833333,11.9453125,2917.02083333,742.604166667,67,1499,60,1449,A
340,87,42,58,712,3.10416666667,36.1666666667,1126.0625,1490.95833333,-0.0533854166667,-3.02083333333,6514.54166667,56,1190,45,1076,A
175,87,64,74,452,44.0,0.291666666667,1368.91666667,741.416666667,13.9678819444,11055.375,421.416666667,57,1341,54,1304,A
98,86,54,60,594,51.7708333333,27.9583333333,1239.97916667,1141.375,10.0060763889,6959.64583333,4718.70833333,56,1206,44,1060,A
262,84,53,62,605,25.6041666667,19.0833333333,1147.1875,1173.08333333,4.24435763889,3500.97916667,3724.08333333,62,1349,45,1055,A
341,15,59,53,303,14.9791666667,4.77083333333,596.770833333,491.020833333,1.18142361111,2060.85416667,431.270833333,64,1484,58,1457,A
266,10,57,56,404,44.125,21.7916666667,995.791666667,897.541666667,5.96571180556,7977.0,4631.16666667,68,1530,75,1967,A
109,5,54,60,655,35.3958333333,-4.54166666667,1624.10416667,1390.29166667,11.5750868056,5962.89583333,-1248.66666667,68,1535,58,1432,A
421,3,67,64,448,16.7916666667,28.7291666667,880.958333333,927.604166667,3.50260416667,2608.54166667,5042.97916667,63,1392,51,1203,A
176,0,76,72,515,24.9166666667,14.75,1121.83333333,956.375,-1.86675347222,4780.66666667,44.875,65,1533,58,1382,A
321,268,46,51,574,1.5,3.10416666667,1225.83333333,1734.64583333,-1.6015625,1224.75,1106.22916667,62,1486,86,2042,B
259,268,40,51,578,10.9791666667,-3.72916666667,953.145833333,1547.1875,-1.15842013889,3217.35416667,-747.229166667,65,1557,72,1765,B
185,261,54,66,970,1.79166666667,-16.5833333333,2033.58333333,2393.70833333,9.53385416667,1634.54166667,-3380.95833333,63,1506,73,1756,B
387,259,42,60,804,-16.5833333333,-4.91666666667,1742.45833333,2243.45833333,-0.723524305556,-1779.95833333,-2149.16666667,64,1538,76,1863,B
108,258,53,61,1008,-33.0,0.208333333333,2560.0,2817.41666667,-2.50651041667,-9910.375,240.083333333,59,1400,74,1757,B
332,168,41,57,953,-17.4583333333,10.5208333333,1765.91666667,2506.47916667,-1.01215277778,-3656.08333333,3937.39583333,57,1340,62,1421,B
271,165,39,61,550,-30.625,-4.70833333333,1234.29166667,1406.125,-2.01736111111,-6720.5,-304.083333333,72,1708,76,1732,B
190,164,52,65,687,3.79166666667,-10.0208333333,1779.625,1964.0625,4.91666666667,605.916666667,-2062.77083333,74,1724,88,2133,B
109,163,58,65,671,16.25,-12.25,1482.20833333,1771.29166667,0.786458333333,6102.5,-1961.0,78,1913,89,2182,B
418,159,37,65,921,-12.5208333333,7.25,1596.60416667,2321.16666667,2.39019097222,-1851.14583333,1257.5,63,1526,57,1346,B
341,88,42,57,897,-20.1666666667,-0.104166666667,1722.75,2198.10416667,0.480034722222,-3699.54166667,925.020833333,57,1336,72,1689,B
400,87,48,59,444,7.45833333333,-9.45833333333,718.833333333,1259.29166667,11.5924479167,405.458333333,-1693.95833333,69,1649,82,1960,B
182,87,65,59,664,56.25,-24.0833333333,1318.20833333,1819.95833333,3.26736111111,11193.75,-4953.08333333,68,1622,86,2187,B
102,87,54,59,722,16.5625,-11.0833333333,1262.6875,1821.95833333,17.0494791667,2882.5625,-2887.58333333,59,1388,70,1711,B
273,81,47,66,818,-33.9166666667,13.5208333333,1669.58333333,2177.9375,0.0594618055556,-8100.66666667,1936.02083333,61,1487,73,1710,B
319,16,56,50,451,-7.27083333333,-8.6875,748.8125,1121.8125,-6.12630208333,727.854166667,-2396.5625,62,1449,93,2261,B
253,11,53,53,514,10.875,-0.791666666667,1015.33333333,1268.58333333,11.0230034722,1769.25,689.958333333,66,1590,90,2185,B
109,6,54,61,702,-5.29166666667,-9.79166666667,1244.70833333,1822.79166667,13.4522569444,-510.916666667,-2515.54166667,61,1475,79,1902,B
402,4,55,64,697,-4.5625,-7.85416666667,1658.22916667,1865.4375,1.42144097222,-2105.9375,-1122.60416667,72,1686,82,2028,B
170,0,61,74,693,17.8541666667,-19.75,1438.97916667,2309.5,-4.18229166667,6340.97916667,-8783.5,76,1924,77,1873,B
259,268,42,52,393,-25.5,-0.791666666667,954.125,1268.25,3.07508680556,-3784.25,-512.416666667,48,1205,63,1547,C
323,267,45,53,388,-10.3333333333,-6.625,1022.20833333,1332.75,0.907986111111,-2128.08333333,-1445.125,53,1320,65,1540,C
187,261,51,58,871,7.64583333333,12.6041666667,1815.60416667,1972.6875,12.65625,2232.02083333,3098.85416667,65,1555,66,1706,C
386,258,50,61,544,-23.8333333333,5.25,1357.5,1916.20833333,1.23567708333,-3912.20833333,1187.5,42,996,66,1634,C
106,257,56,63,728,-9.14583333333,1.47916666667,1811.89583333,2199.97916667,-0.243489583333,-5.89583333333,635.979166667,56,1340,65,1621,C
331,168,37,58,599,-22.7916666667,-21.3541666667,938.458333333,1597.52083333,-2.31987847222,-2389.66666667,-5814.47916667,40,964,52,1291,C
261,166,49,62,338,-16.5833333333,2.8125,955.25,1270.0625,1.07725694444,-2814.20833333,-228.8125,43,1062,69,1667,C
110,163,55,63,469,-31.7916666667,16.9375,1231.58333333,1633.64583333,5.70920138889,-5024.29166667,3444.1875,51,1236,65,1593,C
185,162,55,66,453,-20.5,3.83333333333,1163.625,1554.58333333,11.43359375,-3689.875,2245.95833333,53,1289,64,1497,C
415,160,47,65,573,-16.0416666667,6.52083333333,1416.625,1692.9375,0.00564236111111,-1114.29166667,1201.14583333,61,1453,60,1505,C
390,87,45,59,410,-5.66666666667,-2.6875,885.791666667,1146.52083333,13.4153645833,-1457.04166667,432.9375,64,1545,67,1599,C
332,87,38,58,682,-8.45833333333,15.3958333333,1183.58333333,1815.14583333,3.06727430556,-913.208333333,4340.27083333,55,1272,55,1364,C
181,87,59,59,501,-17.1875,9.35416666667,1299.14583333,1791.10416667,8.50043402778,-2276.0625,607.854166667,44,1042,70,1734,C
105,86,53,60,567,-9.72916666667,-5.14583333333,1285.97916667,1415.89583333,17.0017361111,-551.604166667,464.979166667,60,1473,62,1491,C
262,82,49,64,578,-13.7916666667,8.08333333333,1377.04166667,1858.5,8.57769097222,-1646.79166667,2477.08333333,48,1139,65,1593,C
329,17,49,49,313,-21.7708333333,2.52083333333,790.020833333,994.4375,0.248263888889,-5510.77083333,636.395833333,59,1416,63,1384,C
262,8,57,58,297,-25.9166666667,10.1458333333,843.666666667,848.479166667,11.6822916667,-4961.04166667,3041.77083333,54,1291,60,1352,C
111,6,47,58,517,-16.4583333333,17.0208333333,1044.08333333,1575.35416667,8.59244791667,-2250.08333333,3936.39583333,47,1105,62,1507,C
401,3,65,65,460,-21.4375,10.4583333333,1171.6875,1391.29166667,5.51128472222,-5957.6875,2395.95833333,64,1515,69,1578,C
