x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
405,87,46,72,421,-14.5869565217,-17.75,710.152173913,1509.5,9.47675120773,-1421.32608696,-10836.8333333,91,3504,71,1560,G
184,87,65,74,989,50.4923076923,-25.3108108108,3705.87692308,2857.93243243,10.2022869023,16453.2923077,-19155.3378378,107,4051,107,3709,G
105,87,52,74,825,-7.17307692308,-9.87837837838,1678.36538462,2684.01351351,13.9186590437,-2790.59615385,-10192.4459459,101,3894,86,2271,G
346,86,39,60,659,16.5384615385,20.6,935.051282051,2022.16666667,0.726495726496,2608.53846154,4559.2,76,2229,51,1033,G
271,81,54,66,900,-24.462962963,30.5757575758,2194.68518519,3291.66666667,4.32687991021,-8521.01851852,6893.21212121,82,2550,92,2453,G
337,18,55,60,267,14.0,-8.25,921.345454545,638.016666667,-1.14303030303,4932.8,-5945.75,64,1899,80,2155,G
268,8,57,65,465,-13.0175438596,24.0307692308,1097.54385965,1348.52307692,7.65479082321,-5984.1754386,6561.72307692,90,2828,110,3075,G
111,4,54,61,733,6.68518518519,20.7213114754,1830.24074074,2168.6557377,11.4323011536,151.240740741,5130.36065574,79,2292,93,2602,G
417,2,63,70,794,7.71428571429,10.5,2576.0,3107.92857143,8.69024943311,689.428571429,-9247.24285714,83,2738,92,2910,G
181,0,67,72,1110,-23.0,25.5833333333,3957.17910448,4942.66666667,-1.96828358209,-22339.1492537,4816.91666667,104,3334,112,3718,G
337,268,47,51,395,4.78723404255,6.43137254902,828.787234043,1223.05882353,-0.0141843971631,1505.55319149,2781.49019608,73,1860,63,1426,H
268,268,50,52,376,-3.94,-0.673076923077,886.66,875.211538462,-1.98423076923,-1487.26,-98.8653846154,75,1966,41,1003,H
188,261,61,58,1232,4.72131147541,9.06896551724,3524.09836066,2847.75862069,15.5330695308,3399.73770492,508.517241379,81,2376,63,1862,H
403,259,57,60,742,3.28070175439,-0.25,3302.75438596,1937.98333333,0.181871345029,3441.28070175,641.25,89,2665,49,1361,H
108,257,54,63,1123,1.09259259259,5.87301587302,4491.35185185,2919.58730159,0.157260435038,423.314814815,4126.53968254,92,2890,41,1066,H
360,168,45,57,821,20.7777777778,3.77192982456,1858.6,2091.21052632,0.465107212476,6668.24444444,2855.24561404,81,2298,35,741,H
283,164,51,62,442,-7.27450980392,4.6935483871,2047.8627451,1248.33870968,-0.9908285895,827.666666667,2643.33870968,93,2815,46,1161,H
196,161,59,66,714,11.2542372881,3.95454545455,3122.6440678,1929.71212121,5.70955315871,7637.66101695,711.863636364,100,3278,50,1427,H
452,158,43,67,1177,19.3488372093,33.0447761194,2352.37209302,3842.92537313,3.6074279764,1812.09302326,14959.4328358,92,3068,36,715,H
109,158,66,72,957,4.30303030303,-2.375,3019.45454545,3097.875,4.20854377104,4708.84848485,-232.791666667,112,3992,91,2958,H
367,87,45,58,761,22.2666666667,6.79310344828,1654.04444444,1939.03448276,2.64176245211,6861.33333333,-812.0,83,2456,36,757,H
186,86,79,61,1047,64.6835443038,35.737704918,4507.03797468,2220.09836066,6.44801826105,53169.7721519,9627.96721311,98,2917,93,3817,H
100,86,66,60,871,-0.893939393939,-0.516666666667,2034.37878788,1988.61666667,17.7042929293,-1174.43939394,-65.4166666667,85,2563,71,2283,H
431,85,53,61,427,-8.2641509434,3.29508196721,850.679245283,1022.86885246,9.65450046397,-2048.94339623,1302.14754098,94,2838,68,1684,H
289,81,56,67,821,-6.78571428571,6.26865671642,3698.82142857,2146.68656716,2.07089552239,-2806.21428571,1112.95522388,104,3538,45,1221,H
349,16,58,52,285,-16.1896551724,-17.3076923077,975.293103448,451.461538462,-1.66644562334,-10221.0517241,-2643.80769231,76,2036,50,1383,H
268,11,72,56,506,-7.63888888889,-6.98214285714,1191.22222222,1435.44642857,10.4203869048,-3653.55555556,-2124.76785714,88,2476,116,4000,H
109,2,61,66,781,6.77049180328,13.7424242424,2637.95081967,1954.8030303,9.41405861898,4527.81967213,971.833333333,101,3317,57,1631,H
428,0,60,67,757,12.3666666667,9.92537313433,3204.16666667,2104.79104478,7.5328358209,6349.76666667,2989.95522388,101,3369,52,1497,H
186,0,61,72,1000,29.3114754098,-9.43055555556,5235.37704918,3124.375,3.2650273224,28357.1803279,-4238.43055556,112,4082,50,1440,H
278,268,39,51,244,4.35897435897,2.39215686275,198.0,1052.2745098,0.128205128205,297.282051282,1577.21568627,38,969,49,905,I
226,268,22,51,165,16.1818181818,-0.0196078431373,53.8181818182,430.333333333,0.106951871658,160.727272727,194.568627451,38,969,10,100,I
158,260,49,59,802,20.0204081633,-17.0,1289.73469388,2762.25423729,15.5347630578,1246.46938776,-6359.20338983,60,1698,54,1161,I
339,259,23,60,294,5.78260869565,0.683333333333,46.4782608696,934.85,-0.464492753623,59.5217391304,286.083333333,47,1410,11,112,I
109,257,22,63,438,0.0,3.47619047619,128.909090909,1377.95238095,0.0,0.0,2065.19047619,50,1575,9,90,I
275,168,22,57,354,-7.63636363636,3.10526315789,89.4545454545,1013.56140351,-0.200956937799,-122.181818182,1518.78947368,44,1254,10,104,I
229,167,20,59,196,-3.4,3.16949152542,17.5,624.898305085,0.00508474576271,-15.4,1660.89830508,46,1357,8,74,I
176,164,25,62,278,-2.36,0.0967741935484,67.16,891.774193548,4.24258064516,-6.44,169.838709677,49,1519,13,150,I
109,162,48,65,541,-3.54166666667,9.58461538462,466.166666667,2673.83076923,9.20416666667,-223.791666667,6394.41538462,55,1723,58,1344,I
344,157,23,68,411,8.73913043478,0.897058823529,95.0869565217,1703.60294118,-1.15728900256,135.260869565,795.279411765,55,1870,12,126,I
365,88,37,56,170,-2.81081081081,-1.375,205.72972973,438.267857143,6.34411196911,-52.1081081081,-310.803571429,43,1204,24,420,I
100,88,45,57,403,5.48888888889,1.42105263158,526.955555556,977.49122807,13.3040935673,1104.68888889,1109.52631579,44,1254,32,688,I
